Departemen Biologi 13 (Decimal('2020'), 21, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0221, 0.0253, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 14 (Decimal('2020'), 22, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0184, 0.7035, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 15 (Decimal('2020'), 24, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0184, 1.1505, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 16 (Decimal('2020'), 25, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0184, 0.6825, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 17 (Decimal('2020'), 26, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0184, 0.3006, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 18 (Decimal('2020'), 27, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0147, 7.6774, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 19 (Decimal('2020'), 28, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0147, 0.2258, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 20 (Decimal('2020'), 29, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0331, 0.9032, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 21 (Decimal('2020'), 32, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0331, 0.0145, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 22 (Decimal('2020'), 33, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0257, 0.0107, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 23 (Decimal('2020'), 34, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0184, 1.8065, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 24 (Decimal('2020'), 35, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0184, 6.7742, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 25 (Decimal('2020'), 36, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0184, 0.2258, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
